regions,departements,communes,district_dr,villages,id_men,culture_label,culture,superficie,production_kg,appreciation,principal_prod,principal_prod_other,transformer_production,type_transformation,type_transformation_other,destination_prod
Saint-Louis,Podor,FANAYE,-,Thiangaye,480,Tomate,Tomate,1,11000,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Saint-Louis,Podor,FANAYE,-,Thiangaye,480,Gombo,Gombo,.8,6500,Un peu plus élevée,,,Non,,,
Saint-Louis,Podor,FANAYE,-,Thiangaye,480,Oignon,Oignon,1.2,0,Ne sait pas,,,Non,,,
Ziguinchor,Bignona,DJINAKI,-,Badiana,481,Riz,Riz,.4,400,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Décorticage,,Autoconsommation
Kaffrine,Kaffrine,KATHIOTE,-,Sathie gualgoné,482,Mil,Mil,1,500,La même,,,Oui toute la production,Brisure,,Autoconsommation
Kaffrine,Kaffrine,KATHIOTE,-,Sathie gualgoné,482,Mais,Mais,1,300,La même,,,Oui toute la production,Brisure,,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Diagle,483,Mil,Mil,1,200,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Diagle,483,Arachide,Arachide,1,150,Beaucoup plus faible,Peu de pluies,,Non,,,
Matam,Ranérou,OUDALAYE,-,Patouki,484,Mil,Mil,1,100,Beaucoup plus faible,Peu de pluies,,Non,,,
Matam,Ranérou,OUDALAYE,-,Patouki,484,Mais,Mais,1,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaffrine,Kaffrine,KAHI,-,Sagnol,485,Mil,Mil,3,1600,La même,,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Sagnol,485,Sorgho,Sorgho,1,200,Un peu plus faible,Peu de pluies,,Non,,,
Kaffrine,Kaffrine,KAHI,-,Sagnol,485,Mais,Mais,1,350,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Sagnol,485,Arachide,Arachide,3,1600,La même,,,Oui moins de la moitié de la production,other,Huile,Autoconsommation
Kaffrine,Kaffrine,KAHI,-,Sagnol,485,Pastèque,Pastèque,1,2000,Beaucoup plus faible,Beaucoup de pluies,,Non,,,
Sédhiou,Sédhiou,BENET- BIJINI,-,Francounda sarakhole,486,Mil,Mil,2,500,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Sédhiou,BENET- BIJINI,-,Francounda sarakhole,486,Arachide,Arachide,3,1050,Un peu plus faible,Peu de pluies,,Non,,,
Sédhiou,Sédhiou,BENET- BIJINI,-,Francounda sarakhole,486,Sésame,Sésame,1,160,Un peu plus faible,Peu de pluies,,Non,,,
Sédhiou,Sédhiou,BENET- BIJINI,-,Francounda sarakhole,486,Pastèque,Pastèque,1,2000,Un peu plus faible,Peu de pluies,,Non,,,
Saint-Louis,Saint-Louis,N’DIEBENE GANDIOLE,-,Pelour,487,Niébé,Niébé,.5,30,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Tivaouane,MONT- ROLLAND,-,Pakhamkouye 1,488,Mil,Mil,1,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Tivaouane,MONT- ROLLAND,-,Pakhamkouye 1,488,Arachide,Arachide,1,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaffrine,Koungheul,LOUR ESCALE,-,Yetty khaye,489,Mil,Mil,2,850,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Yetty khaye,489,Sorgho,Sorgho,1,100,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Yetty khaye,489,Mais,Mais,1,600,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Yetty khaye,489,Arachide,Arachide,2,1400,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Yetty khaye,489,Sésame,Sésame,1,250,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Tambacounda,Tambacounda,MISSIRAH,-,Madially,490,Mil,Mil,2,2200,Un peu plus élevée,,,Oui moins de la moitié de la production,Brisure,,Autoconsommation & Vente
Tambacounda,Tambacounda,MISSIRAH,-,Madially,490,Sorgho,Sorgho,3,2600,Un peu plus élevée,,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Tambacounda,Tambacounda,MISSIRAH,-,Madially,490,Mais,Mais,1,550,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Tambacounda,Tambacounda,MISSIRAH,-,Madially,490,Arachide,Arachide,1,650,Un peu plus faible,Peu de pluies,,Oui la moitié de la production,Décorticage,,Autoconsommation
Thiès,Thiès,N’DIEYENE SIRAKH,-,Gouy kouli,491,Mil,Mil,1,100,Un peu plus élevée,,,Non,,,
Thiès,Thiès,N’DIEYENE SIRAKH,-,Gouy kouli,491,Arachide,Arachide,.5,50,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Granulé,,Autoconsommation
Thiès,Tivaouane,NOTTO GOUYE DIAMA,-,BAITY  DAKHAR,492,Arachide,Arachide,1.7,250,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Tivaouane,NOTTO GOUYE DIAMA,-,BAITY  DAKHAR,492,Manioc,Manioc,2.3,2400,Un peu plus élevée,,,Non,,,
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,493,Mil,Mil,1,600,Un peu plus faible,Perte de fertilité du sol,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,493,Mais,Mais,2,500,Un peu plus faible,Insectes,,Non,,,
Kaffrine,Malem Hoddar,SAGNA,-,Niahene,493,Arachide,Arachide,3,600,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Guinguinéo,MBADAKHOUNE,-,Keur mbin mody diouf,494,Mil,Mil,2,1500,Beaucoup plus élevée,,,Non,,,
Kaolack,Guinguinéo,MBADAKHOUNE,-,Keur mbin mody diouf,494,Arachide,Arachide,1,600,Un peu plus élevée,,,Oui toute la production,other,Patte d'arachide,Autoconsommation & Vente
Kaolack,Guinguinéo,NGUELOU,-,Nguelou bindive,495,Mil,Mil,2,900,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaolack,Guinguinéo,NGUELOU,-,Nguelou bindive,495,Sorgho,Sorgho,2,100,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Guinguinéo,NGUELOU,-,Nguelou bindive,495,Niébé,Niébé,2,90,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaolack,Guinguinéo,NGUELOU,-,Nguelou bindive,495,Arachide,Arachide,2,800,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaffrine,Malem Hoddar,DIANKE SOUF,-,ngaba,496,Mil,Mil,4,2200,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,DIANKE SOUF,-,ngaba,496,Mais,Mais,.5,300,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,DIANKE SOUF,-,ngaba,496,Arachide,Arachide,1.5,500,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Vente
Kaolack,Guinguinéo,OUROUR,-,Colobane soumbel,497,Mil,Mil,1,200,Un peu plus élevée,,,Non,,,
Kaolack,Guinguinéo,OUROUR,-,Colobane soumbel,497,Arachide,Arachide,1,300,Un peu plus élevée,,,Oui toute la production,Mouture (farine),,Vente
Kolda,Velingara,SINTHIANG KOUNDARA,-,Sinthiang Koundara,498,Mais,Mais,1.5,680,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,SINTHIANG KOUNDARA,-,Sinthiang Koundara,498,Arachide,Arachide,1.25,530,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Kédougou,Saraya,BEMBOU,-,Fode  Binea,499,Mais,Mais,1,1100,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kédougou,Saraya,BEMBOU,-,Fode  Binea,499,Arachide,Arachide,1,1500,Beaucoup plus élevée,,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Kaffrine,KATHIOTE,-,Kathiotte,501,Mil,Mil,1,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaffrine,Kaffrine,KATHIOTE,-,Kathiotte,501,Mais,Mais,1,40,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaffrine,Kaffrine,KATHIOTE,-,Kathiotte,501,Arachide,Arachide,2,300,Beaucoup plus faible,Peu de pluies,,Non,,,
Matam,Ranérou,OUDALAYE,-,Fass ferlo,502,Mil,Mil,1,200,Un peu plus faible,Peu de pluies,,Non,,,
Matam,Ranérou,OUDALAYE,-,Fass ferlo,502,Mais,Mais,1,200,Un peu plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,NYASSIA,-,Nyassia,503,Riz,Riz,.5,391,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Tambacounda,Bakel,SINTHIOU-FISSA,-,Belly djimbara,504,Mil,Mil,1,250,La même,,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Tambacounda,Bakel,SINTHIOU-FISSA,-,Belly djimbara,504,Mais,Mais,.25,100,La même,,,Non,,,
Kaffrine,Birkelane,N’DIOGNICK,-,Kathiawane,505,Mil,Mil,1,300,Beaucoup plus faible,Insectes,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,N’DIOGNICK,-,Kathiawane,505,Arachide,Arachide,1,800,Un peu plus faible,Peu de pluies,,Non,,,
Sédhiou,Goudomp,BAGHERE,-,Kenewal,506,Mais,Mais,.35,100,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation
Sédhiou,Goudomp,BAGHERE,-,Kenewal,506,Riz,Riz,.45,200,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Brisure,,Autoconsommation
Sédhiou,Goudomp,BAGHERE,-,Kenewal,506,Arachide,Arachide,.5,250,Un peu plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Agnack Petit,507,Riz,Riz,.25,350,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Ziguinchor,Ziguinchor,ADEANE,-,Agnack Petit,507,Sésame,Sésame,1,300,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Vente
Kaffrine,Koungheul,LOUR ESCALE,-,Belele,508,Mil,Mil,4,1600,Beaucoup plus faible,Insectes,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Belele,508,Sorgho,Sorgho,4,500,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Belele,508,Mais,Mais,2,500,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Belele,508,Arachide,Arachide,6.000000000000001,3600,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,other,Dégué et noflaye,Autoconsommation
Diourbel,Diourbel,N!DINDY,-,TALLAKH,509,Mil,Mil,1,800,Un peu plus faible,Insectes,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Diourbel,Diourbel,N!DINDY,-,TALLAKH,509,Niébé,Niébé,1,90,Un peu plus faible,Peu de pluies,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Diourbel,Diourbel,N!DINDY,-,TALLAKH,509,Arachide,Arachide,1,400,Un peu plus faible,Peu de pluies,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Kolda,Kolda,DIALAMBERE,-,Sougoufara Pathe,510,Mil,Mil,1,367,Beaucoup plus faible,Peu de pluies,,Oui la moitié de la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,DIALAMBERE,-,Sougoufara Pathe,510,Mais,Mais,.5,250,Beaucoup plus faible,Peu de pluies,,Oui plus de la moitié de la production,Granulé,,Autoconsommation
Kolda,Kolda,DIALAMBERE,-,Sougoufara Pathe,510,Arachide,Arachide,1,300,Beaucoup plus faible,Peu de pluies,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Louga,Linguère,BARKEDJI,-,Diabal,511,Niébé,Niébé,.5,350,Un peu plus faible,Peu de pluies,,Non,,,
Kaolack,Kaolack,NDIAFFATE,-,Keur yoro soumbou,512,Mil,Mil,4,2400,Un peu plus élevée,,,Oui toute la production,Décorticage,,Autoconsommation
Kaolack,Kaolack,NDIAFFATE,-,Keur yoro soumbou,512,Sorgho,Sorgho,1,200,Un peu plus élevée,,,Oui toute la production,Décorticage,,Vente
Kaolack,Kaolack,NDIAFFATE,-,Keur yoro soumbou,512,Mais,Mais,2,1500,Beaucoup plus élevée,,,Oui toute la production,Décorticage,,Autoconsommation
Kaolack,Kaolack,NDIAFFATE,-,Keur yoro soumbou,512,Arachide,Arachide,2,2200,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Vente
Sédhiou,Bounkilling,TANKON,-,Medina Hanecounda,513,Mil,Mil,3,2800,Un peu plus élevée,,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,TANKON,-,Medina Hanecounda,513,Mais,Mais,1,560,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,TANKON,-,Medina Hanecounda,513,Arachide,Arachide,2,1700,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaolack,Guinguinéo,MBADAKHOUNE,-,Roundal sakhal,514,Mil,Mil,1,800,Un peu plus élevée,,,Non,,,
Kaolack,Guinguinéo,MBADAKHOUNE,-,Roundal sakhal,514,Arachide,Arachide,1,800,Un peu plus élevée,,,Oui moins de la moitié de la production,other,Patte d'arachide,Autoconsommation & Vente
Matam,Ranérou,VELINGARA,-,Dayane gaselle,515,Mil,Mil,2,600,Un peu plus élevée,,,Non,,,
Matam,Ranérou,VELINGARA,-,Dayane gaselle,515,Mais,Mais,2,400,La même,,,Non,,,
Matam,Ranérou,VELINGARA,-,Dayane gaselle,515,Niébé,Niébé,2,200,La même,,,Non,,,
Matam,Ranérou,VELINGARA,-,Dayane gaselle,515,Arachide,Arachide,2,400,Un peu plus élevée,,,Non,,,
Ziguinchor,Oussouye,OUKOUT,-,Boukoutigho,516,Riz,Riz,.7000000000000001,3750,Un peu plus faible,Peu de pluies,,Oui toute la production,Brisure,,Autoconsommation & Vente
Ziguinchor,Oussouye,OUKOUT,-,Boukoutigho,516,Arachide,Arachide,2.15,12500,Un peu plus élevée,,,Oui toute la production,Brisure,,Autoconsommation & Vente
Kaolack,Guinguinéo,MBADAKHOUNE,-,Louky Seane,517,Mil,Mil,7.000000000000001,1500,Un peu plus élevée,,,Oui moins de la moitié de la production,other,Couscous,Autoconsommation
Kaolack,Guinguinéo,MBADAKHOUNE,-,Louky Seane,517,Arachide,Arachide,9,3472,Un peu plus élevée,,,Non,,,
Kaffrine,Birkelane,N’DIOGNICK,-,Keur nderry,518,Mil,Mil,4,1000,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Birkelane,N’DIOGNICK,-,Keur nderry,518,Arachide,Arachide,6.000000000000001,1800,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kolda,Velingara,NEMATABA,-,Missira Adioubi,519,Mais,Mais,.7500000000000001,485,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kolda,Velingara,NEMATABA,-,Missira Adioubi,519,Arachide,Arachide,.5,365,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Kolda,Velingara,NEMATABA,-,Missira Adioubi,519,Manioc,Manioc,.7500000000000001,1900,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Louga,Linguère,GASSANE,-,Gassane  Ndawene,520,Mil,Mil,1,500,Beaucoup plus faible,other,Ne sais pas,Non,,,
Louga,Linguère,GASSANE,-,Gassane  Ndawene,520,Mais,Mais,1,50,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kolda,Kolda,GUIRO YERO BOCAR,-,Guiro yero bacar,521,Mais,Mais,1,412,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,GUIRO YERO BOCAR,-,Guiro yero bacar,521,Arachide,Arachide,2,400,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaffrine,Kaffrine,GNIBY,-,Darou salam,522,Mil,Mil,2,500,Un peu plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,GNIBY,-,Darou salam,522,Mais,Mais,1,100,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Kaffrine,GNIBY,-,Darou salam,522,Arachide,Arachide,2,1000,Beaucoup plus élevée,,,Non,,,
Kaolack,Nioro,NDRAME ESCALE,-,Dienguéne mody,523,Mil,Mil,2,2000,Un peu plus élevée,,,Oui toute la production,Décorticage,,Autoconsommation
Kaolack,Nioro,NDRAME ESCALE,-,Dienguéne mody,523,Arachide,Arachide,2,1000,Un peu plus faible,other,Manque d'engrais,Oui toute la production,Décorticage,,Vente
Kédougou,Salemata,KEVOYE,-,Sambangar,524,Mais,Mais,.5,75,Beaucoup plus faible,Beaucoup de pluies,,Oui plus de la moitié de la production,Décorticage,,Autoconsommation
Kédougou,Salemata,KEVOYE,-,Sambangar,524,Riz,Riz,1.25,1300,Un peu plus élevée,,,Oui la moitié de la production,Brisure,,Autoconsommation
Kédougou,Salemata,KEVOYE,-,Sambangar,524,Arachide,Arachide,2,500,Beaucoup plus élevée,,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Diourbel,Bambey,DANGALMA,-,Dangalma,525,Mil,Mil,2,200,Beaucoup plus faible,Peu de pluies,,Non,,,
Kaolack,Kaolack,LATMINGUE,-,Thiakho   madiale,526,Mil,Mil,3,2500,Un peu plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,LATMINGUE,-,Thiakho   madiale,526,Mais,Mais,3,500,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kaolack,Kaolack,LATMINGUE,-,Thiakho   madiale,526,Arachide,Arachide,3,1500,Beaucoup plus faible,Perte de fertilité du sol,,Non,,,
Kolda,Kolda,MAMPATIM,-,Diankancounda,527,Mil,Mil,1.22,448,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,MAMPATIM,-,Diankancounda,527,Mais,Mais,2,1150,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation
Kolda,Kolda,MAMPATIM,-,Diankancounda,527,Riz,Riz,.25,0,Beaucoup plus faible,Peu de pluies,,Non,,,
Kolda,Kolda,MAMPATIM,-,Diankancounda,527,Arachide,Arachide,2.25,660,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaffrine,Kaffrine,KATHIOTE,-,Sans hier gargnone,528,Mil,Mil,1.5,1700,Un peu plus élevée,,,Oui moins de la moitié de la production,Granulé,,Autoconsommation & Vente
Kaffrine,Kaffrine,KATHIOTE,-,Sans hier gargnone,528,Mais,Mais,1.5,650,Un peu plus élevée,,,Non,,,
Kaffrine,Kaffrine,KATHIOTE,-,Sans hier gargnone,528,Arachide,Arachide,1,500,Un peu plus faible,Peu de pluies,,Non,,,
Thiès,Thiès,N’GOUNDIANE,-,Mbayene diack,529,Mil,Mil,1,100,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Thiès,N’GOUNDIANE,-,Mbayene diack,529,Niébé,Niébé,.7500000000000001,50,Beaucoup plus faible,Peu de pluies,,Non,,,
Diourbel,Mbacké,MISSIRAH,-,Ndioumene,530,Mil,Mil,3,580,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Diourbel,Mbacké,MISSIRAH,-,Ndioumene,530,Arachide,Arachide,5,650,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Thiès,Thiès,N’GOUNDIANE,-,Mbayene diack,531,Mil,Mil,2.5,400,Beaucoup plus faible,Peu de pluies,,Non,,,
Thiès,Thiès,N’GOUNDIANE,-,Mbayene diack,531,Arachide,Arachide,3.5,750,Beaucoup plus faible,Peu de pluies,,Non,,,
Kédougou,Kédougou,NINEFECHA,-,Nenefecha,532,Mais,Mais,1,1200,Un peu plus élevée,,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation
Kédougou,Kédougou,NINEFECHA,-,Nenefecha,532,Fonio,Fonio,1,900,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Koungheul,LOUR ESCALE,-,Haffé Lour,533,Mil,Mil,1.5,200,Beaucoup plus faible,other,"Pause pluviométrie, insectes, levé hétérogènes ",Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Haffé Lour,533,Sorgho,Sorgho,1,200,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Haffé Lour,533,Mais,Mais,1.5,500,Beaucoup plus faible,Perte de fertilité du sol,,Oui toute la production,Mouture (farine),,Autoconsommation
Kaffrine,Koungheul,LOUR ESCALE,-,Haffé Lour,533,Arachide,Arachide,1.5,1000,Beaucoup plus faible,Peu de pluies,,Oui moins de la moitié de la production,other,Noflaye et dégué,Autoconsommation
Louga,Kébémer,DIOKOUL DIAWRIGNE,-,Mbatar diop,534,Mil,Mil,3,100,La même,,,Non,,,
Louga,Kébémer,DIOKOUL DIAWRIGNE,-,Mbatar diop,534,Niébé,Niébé,1,150,Un peu plus élevée,,,Non,,,
Louga,Kébémer,DIOKOUL DIAWRIGNE,-,Mbatar diop,534,Arachide,Arachide,2,1500,Un peu plus faible,Peu de pluies,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,535,Mil,Mil,2.5,1000,Un peu plus faible,Beaucoup de pluies,,Non,,,
Fatick,Gossas,COLOBANE,-,Gaina Mbar,535,Niébé,Niébé,1,200,Un peu plus faible,Insectes,,Non,,,
Kolda,Médina Yoro Foula,BOUROUCO,-,Sare Djoubel,536,Mil,Mil,.10638,400,Un peu plus faible,Peu de pluies,,Non,,,
Kolda,Médina Yoro Foula,BOUROUCO,-,Sare Djoubel,536,Arachide,Arachide,.40291,500,Ne sait pas,,,Non,,,
Fatick,Gossas,MBAR,-,Keur Séyni,537,Mil,Mil,5,400,Beaucoup plus élevée,,,Non,,,
Fatick,Gossas,MBAR,-,Keur Séyni,537,Mais,Mais,1,40,Un peu plus élevée,,,Non,,,
Fatick,Gossas,MBAR,-,Keur Séyni,537,Niébé,Niébé,1,95,Beaucoup plus élevée,,,Non,,,
Fatick,Gossas,MBAR,-,Keur Séyni,537,Arachide,Arachide,5,1300,Beaucoup plus élevée,,,Non,,,
Kaolack,Nioro,TAÏBA NIASSENE,-,Taiba niassene,538,Mil,Mil,2,2000,La même,,,Oui toute la production,Décorticage,,Autoconsommation & Vente
Kaolack,Nioro,TAÏBA NIASSENE,-,Taiba niassene,538,Mais,Mais,2,8000,La même,,,Oui toute la production,Mouture (farine),,Autoconsommation & Vente
Kaolack,Nioro,TAÏBA NIASSENE,-,Taiba niassene,538,Arachide,Arachide,2,6000,La même,,,Oui toute la production,Décorticage,,Vente
Kaffrine,Malem Hoddar,DAROU MINAM II,-,darou minam,539,Mil,Mil,8,2500,Un peu plus faible,Peu de pluies,,Oui plus de la moitié de la production,Mouture (farine),,Autoconsommation
Kaffrine,Malem Hoddar,DAROU MINAM II,-,darou minam,539,Sorgho,Sorgho,2,200,Un peu plus faible,Peu de pluies,,Non,,,
Kaffrine,Malem Hoddar,DAROU MINAM II,-,darou minam,539,Mais,Mais,1,200,Un peu plus faible,Peu de pluies,,Non,,,
Kaffrine,Malem Hoddar,DAROU MINAM II,-,darou minam,539,Arachide,Arachide,8,3500,Beaucoup plus faible,Peu de pluies,,Non,,,
Ziguinchor,Ziguinchor,ADEANE,-,Sindone,540,Riz,Riz,2,2450,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Autoconsommation
Ziguinchor,Ziguinchor,ADEANE,-,Sindone,540,Arachide,Arachide,.25,300,Un peu plus faible,Peu de pluies,,Oui toute la production,Granulé,,Autoconsommation
Sédhiou,Bounkilling,NDIAMALATHIEL,-,Ndiamalathel,541,Mil,Mil,2.5,600,Beaucoup plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,NDIAMALATHIEL,-,Ndiamalathel,541,Mais,Mais,1.5,850,Un peu plus faible,Peu de pluies,,Oui toute la production,Mouture (farine),,Autoconsommation
Sédhiou,Bounkilling,NDIAMALATHIEL,-,Ndiamalathel,541,Arachide,Arachide,2,1800,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Koungheul,MISSIRAH WADENE,-,Arafa,542,Mil,Mil,8,3000,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaffrine,Koungheul,MISSIRAH WADENE,-,Arafa,542,Sorgho,Sorgho,2,1000,Un peu plus faible,Peu de pluies,,Oui la moitié de la production,Mouture (farine),,Autoconsommation & Vente
Kaffrine,Koungheul,MISSIRAH WADENE,-,Arafa,542,Mais,Mais,2,500,Un peu plus faible,Peu de pluies,,Oui moins de la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaffrine,Koungheul,MISSIRAH WADENE,-,Arafa,542,Arachide,Arachide,6.000000000000001,3000,Un peu plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation & Vente
Kaffrine,Koungheul,MISSIRAH WADENE,-,Arafa,542,Sésame,Sésame,1,200,Un peu plus faible,Peu de pluies,,Oui toute la production,Décorticage,,Vente
Kédougou,Kédougou,FONGOLEMBI,-,Fongolimbi,543,Fonio,Fonio,.7500000000000001,500,La même,,,Oui la moitié de la production,Décorticage,,Autoconsommation
Kédougou,Kédougou,FONGOLEMBI,-,Fongolimbi,543,Arachide,Arachide,.5,340,Beaucoup plus élevée,,,Oui la moitié de la production,Décorticage,,Autoconsommation
Thiès,Mbour,DIASS,-,Boukhou,544,Niébé,Niébé,.4,10,Beaucoup plus faible,Insectes,,Non,,,
Louga,Linguère,DEALI,-,Ndiassam,545,Mil,Mil,5,3500,Un peu plus élevée,,,Non,,,
Louga,Linguère,DEALI,-,Ndiassam,545,Mais,Mais,1,400,Un peu plus élevée,,,Non,,,
Louga,Linguère,DEALI,-,Ndiassam,545,Niébé,Niébé,1,250,Un peu plus élevée,,,Non,,,
