"id_men","culture_label","superficie","production_kg"
111,"Arachide",1,0
111,"Mil",0.5,0
111,"Niébé",1,300
112,"Niébé",0.5,100
113,"Arachide",5,3000
113,"Mais",2,2000
113,"Mil",2,600
113,"Sorgho",1,300
114,"Arachide",0.75,575
114,"Mais",0.75,547
114,"Riz",0.5,200
114,"Sorgho",1,750
115,"Arachide",4,1600
115,"Mil",4,1000
116,"Arachide",5,2200
116,"Niébé",0.5,300
117,"Riz",1,800
118,"Mais",3,3300
119,"Arachide",2,80
119,"Mil",3,1600
119,"Niébé",1,80
120,"Arachide",3,900
120,"Mil",2,800
120,"Niébé",2,300
121,"Riz",0.9,700
121,"Sésame",1,85
122,"Arachide",0.25,462
122,"Mais",0.5,773
122,"Niébé",0.25,43
122,"Sorgho",2.5,2600
123,"Arachide",0.5,500
123,"Mil",1,1000
123,"Niébé",0.4,250
124,"Niébé",2.5,360
125,"Mil",2,100
126,"Arachide",1.8,350
126,"Mil",2,500
127,"Arachide",2,600
127,"Mais",1,300
127,"Mil",1,150
128,"Mil",1,50
128,"Sésame",1,200
129,"Arachide",7,4000
129,"Mais",7,4800
130,"Arachide",0.5,350
130,"Mil",0.5,45
130,"Riz",0.5,536.357991601894
131,"Mais",1,250
131,"Mil",1,200
131,"Riz",0.5,75
132,"Arachide",3,300
132,"Mil",2.5,200
133,"Arachide",0.5,500
133,"Mil",0.4,100
134,"Pastèque",1,2833.68487503477
135,"Mil",1.5,650
135,"Niébé",0.5,25
136,"Arachide",2,1500
136,"Mil",1,900
137,"Niébé",1,30
138,"Mais",1,50
139,"Arachide",1,800
139,"Riz",0.5,900
140,"Arachide",1,100
140,"Mil",1,500
140,"Niébé",0.5,50
141,"Arachide",2,400
141,"Niébé",3,120
142,"Arachide",7,500
142,"Mil",3,300
143,"Arachide",5,2000
143,"Mais",2,300
143,"Mil",3,500
143,"Sorgho",2,0
144,"Mil",1,600
145,"Mil",0.5,250
146,"Arachide",3,0
146,"Mais",1.5,250
147,"Arachide",5,3000
147,"Mais",2,600
147,"Mil",3,800
147,"Sésame",1,100
148,"Arachide",4,600
148,"Mil",3,800
148,"Niébé",1,75
148,"Pastèque",1,700
149,"Arachide",1,350
149,"Sorgho",2.5,400
150,"Mil",1,600
150,"Sorgho",0.75,300
151,"Arachide",2,900
151,"Mil",2,1000
152,"Arachide",1,1650
152,"Mais",1,100
152,"Mil",2,200
152,"Sorgho",1,1000
153,"Arachide",3,1600
153,"Mil",2,1000
153,"Niébé",2,600
154,"Arachide",1,150
154,"Mais",1,327
154,"Mil",2,130
155,"Mil",1,110
155,"Niébé",5,200
156,"Arachide",2,500
156,"Mais",2,700
156,"Riz",1,350
157,"Arachide",10,1700
157,"Mil",15,2800
158,"Arachide",15,1800
158,"Mil",3,350
159,"Mil",2,600
159,"Sorgho",2,450
160,"Mil",2,1100
160,"Niébé",1,85
161,"Arachide",3,120
161,"Niébé",4,140
162,"Arachide",0.53,50
162,"Mil",0.73,110
163,"Riz",0.5,1750
164,"Arachide",2,650
164,"Mil",3,2850
165,"Arachide",0.5,75
165,"Mil",1,100
166,"Arachide",1.25,300
166,"Mil",1.25,500
166,"Niébé",0.25,40
167,"Arachide",1,1750
168,"Arachide",3,1500
168,"Mil",2,700
168,"Sorgho",1,150
169,"Arachide",2.5,750
169,"Mil",1,0
170,"Arachide",2,1500
170,"Mais",1,450
170,"Mil",1,600
171,"Arachide",5,1200
171,"Mil",10,2500
172,"Arachide",3,3600
172,"Riz",1.91111111111111,860
173,"Arachide",4,2000
173,"Mil",6,1000
173,"Niébé",1,0
174,"Riz",1,1500
175,"Arachide",2,550
175,"Mais",1,300
175,"Mil",2,600
175,"Sorgho",1,75
176,"Arachide",4,1300
176,"Mais",1,400
176,"Mil",3,1600
177,"Arachide",2,700
177,"Mais",2,200
177,"Sorgho",2,100
178,"Arachide",1,200
178,"Mil",1,257
178,"Niébé",0.28,40
179,"Arachide",1.5,500
179,"Mil",2,340
179,"Riz",2.5,670
180,"Mais",1,180
180,"Mil",1,250
181,"Arachide",1,800
181,"Mil",2,500
182,"Mil",0.5,200
183,"Sorgho",0.2,50
184,"Arachide",3,900
184,"Mil",2.5,900
184,"Riz",1,600
185,"Arachide",10,475
185,"Mil",5,2500
185,"Niébé",2,125
186,"Arachide",1.5,900
186,"Mais",1,800
186,"Riz",1,700
187,"Arachide",2.1,500
187,"Mil",2,500
187,"Niébé",0.7,100
188,"Arachide",2,400
188,"Mil",3.5,600
188,"Niébé",3.5,700
189,"Mil",2,200
189,"Riz",0.5,75
190,"Arachide",1.2,350
190,"Mil",2,100
191,"Arachide",1,500
191,"Riz",0.9,700
192,"Arachide",0.09,100
192,"Mil",0.05,30
193,"Arachide",0.5,300
193,"Mais",0.8,50
193,"Mil",1.5,800
193,"Niébé",0.7,200
193,"Sorgho",1.5,650
194,"Arachide",4,550
194,"Mil",2,400
195,"Arachide",25,2000
195,"Mil",20,1500
195,"Niébé",5,400
196,"Arachide",2,800
196,"Mil",2,300
197,"Riz",0.25,350
198,"Mais",0.5,750
199,"Mais",1,600
199,"Riz",1,450
200,"Arachide",0.1225,0
201,"Bissap",1,130
201,"Niébé",1,100
202,"Mais",1,400
202,"Mil",1,200
203,"Arachide",2,300
203,"Mil",3,600
203,"Niébé",1,50
204,"Arachide",1.5,775
204,"Mais",2,890
204,"Riz",0.5,0
205,"Arachide",1,500
205,"Mais",1,100
205,"Mil",1,200
206,"Sorgho",1,540
207,"Arachide",1,200
207,"Mais",0.25,0
207,"Mil",1.25,459
207,"Sorgho",0.25,0
208,"Arachide",1.5,1000
208,"Riz",0.5,600
208,"Sésame",1,600
209,"Arachide",1.25,200
209,"Mais",0.5,206
209,"Mil",1.25,459
210,"Arachide",1,1080
210,"Mil",0.5,845
210,"Niébé",0.5,100
211,"Arachide",1,200
211,"Niébé",1,300
212,"Mil",0.5,50
213,"Arachide",1,300
213,"Mil",2,750
213,"Sorgho",1,100
214,"Arachide",1,300
215,"Arachide",0.5,60
215,"Mil",2,700
215,"Niébé",0.5,30
216,"Arachide",1,500
216,"Niébé",1,300
217,"Arachide",2,800
217,"Mil",2.5,800
217,"Niébé",0.5,50
218,"Arachide",1,1700
218,"Mil",1,950
219,"Mil",0.5,200
219,"Niébé",0.5,50
220,"Arachide",1,100
220,"Niébé",2,300
221,"Arachide",1,200
221,"Mil",2,500
221,"Niébé",1,100
222,"Arachide",1.5,2500
223,"Arachide",1,900
223,"Mil",0.45,300
223,"Niébé",0.3,45
223,"Riz",0.25,150
224,"Arachide",1,350
224,"Mil",1,400
224,"Niébé",1,80
225,"Arachide",3,800
225,"Mais",1,200
225,"Mil",2,300
226,"Arachide",6,500
226,"Mais",4,400
226,"Mil",6,600
227,"Arachide",2,150
228,"Arachide",1,1500
228,"Mil",1,1000
229,"Arachide",5,3400
229,"Mil",6,3200
229,"Sorgho",1,300
229,"Sésame",0.5,150
230,"Arachide",0.25,280
230,"Riz",1,600
231,"Arachide",1.5,1700
231,"Mil",2.5,1500
232,"Arachide",1,250
233,"Arachide",7,2700
233,"Mil",7,1500
233,"Niébé",3,150
234,"Arachide",0.5,300
234,"Mil",1,350
234,"Niébé",1,100
235,"Sorgho",2.5,200
237,"Arachide",0.5,20
237,"Mil",1,100
238,"Sorgho",0.5,500
239,"Arachide",2,2100
240,"Arachide",4,1000
240,"Mais",1,0
240,"Mil",2,600
241,"Arachide",2,2000
241,"Mais",2,750
241,"Mil",2,600
241,"Sorgho",2,800
242,"Mais",0.25,150
242,"Sorgho",0.3222,250
243,"Arachide",1,300
243,"Mil",2,800
244,"Mais",0.12,50
245,"Arachide",4.5,1200
245,"Mil",4.5,2000
245,"Niébé",1,120
246,"Mais",0.5,150
246,"Riz",0.5,100
247,"Arachide",1,50
247,"Mil",1,100
248,"Arachide",1,1000
248,"Mil",1,2000
249,"Arachide",2,650
249,"Mil",2,500
250,"Arachide",2,250
250,"Mais",2,100
251,"Arachide",1,1200
251,"Mais",1,600
252,"Arachide",2,400
252,"Niébé",2,240
253,"Arachide",1,450
253,"Mil",1.5,500
254,"Arachide",3,500
254,"Mil",2,400
254,"Sorgho",1,50
255,"Arachide",5,2500
255,"Bissap",0.25,50
255,"Mil",4,1500
255,"Niébé",0.5,200
256,"Arachide",1,350
256,"Mil",3,1200
256,"Niébé",0.5,200
257,"Riz",0.24,840
258,"Arachide",1,900
258,"Mil",1.5,1500
259,"Arachide",1,500
259,"Mil",1,500
260,"Arachide",2.5,2300
260,"Mil",3,1900
261,"Arachide",1,150
261,"Mais",1,100
261,"Mil",1,200
262,"Arachide",0.3,200
262,"Manioc",1.5,6000
262,"Niébé",0.2,31
263,"Mais",1,520
263,"Riz",1,350
264,"Riz",0.35,500
265,"Arachide",2,500
265,"Mil",5,1500
265,"Niébé",2,0
265,"Pastèque",1,1000
266,"Arachide",0.5,350
266,"Mais",0.5,350
267,"Arachide",1.9,600
267,"Mil",1.6,1000
267,"Niébé",0.8,200
268,"Arachide",4,4000
268,"Mais",1.75,900
